iter	Passed	Remaining
673	944	457
674	946	455
675	947	454
676	948	452
677	950	451
678	951	449
679	954	449
680	955	447
681	957	446
682	958	445
683	960	443
684	961	441
685	962	440
686	963	438
687	964	437
688	966	436
689	969	435
690	970	433
691	971	432
692	973	431
693	974	429
694	975	428
695	976	426
696	977	425
697	978	423
698	979	421
699	980	420
700	981	418
701	983	417
702	985	416
703	987	415
704	988	413
705	989	412
706	990	410
707	991	408
708	992	407
709	993	405
710	994	404
711	995	402
712	998	401
713	999	400
714	1000	398
715	1001	397
716	1002	395
717	1003	394
718	1004	392
719	1004	390
720	1005	389
721	1006	387
722	1007	385
723	1008	384
724	1009	382
725	1010	381
726	1013	380
727	1014	379
728	1015	377
729	1017	376
730	1019	375
731	1020	373
732	1022	372
733	1023	370
734	1024	369
735	1025	367
736	1026	366
737	1028	365
738	1030	363
739	1031	362
740	1032	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1038	351
747	1038	350
748	1040	348
749	1041	347
750	1042	345
751	1044	344
752	1045	343
753	1046	341
754	1047	340
755	1048	338
756	1049	337
757	1050	335
758	1051	333
759	1052	332
760	1053	330
761	1059	330
762	1060	329
763	1061	327
764	1062	326
765	1063	324
766	1064	323
767	1065	321
768	1066	320
769	1067	318
770	1068	317
771	1071	316
772	1072	314
773	1072	313
774	1074	311
775	1075	310
776	1076	308
777	1076	307
778	1077	305
779	1079	304
780	1080	302
781	1081	301
782	1082	299
783	1083	298
784	1085	297
785	1086	295
786	1088	294
787	1088	292
788	1090	291
789	1090	289
790	1091	288
791	1092	287
792	1094	285
793	1095	284
794	1096	282
795	1098	281
796	1101	280
797	1102	279
798	1103	277
799	1104	276
800	1106	274
801	1107	273
802	1107	271
803	1108	270
804	1109	268
805	1110	267
806	1111	265
807	1111	264
808	1112	262
809	1113	261
810	1115	260
811	1116	258
812	1117	257
813	1118	255
814	1119	254
815	1119	252
816	1120	251
817	1121	249
818	1122	248
819	1123	246
820	1124	245
821	1125	243
822	1125	242
823	1126	240
824	1127	239
825	1128	237
826	1131	236
827	1132	235
828	1133	233
829	1133	232
830	1134	230
831	1135	229
832	1136	227
833	1137	226
834	1138	224
835	1138	223
836	1139	221
837	1140	220
838	1141	219
839	1142	217
840	1143	216
841	1145	214
842	1146	213
843	1147	212
844	1148	210
845	1149	209
846	1150	207
847	1151	206
848	1152	204
849	1153	203
850	1154	202
851	1154	200
852	1155	199
853	1156	197
854	1157	196
855	1158	194
856	1160	193
857	1161	192
858	1162	190
859	1162	189
860	1163	187
861	1164	186
862	1165	185
863	1166	183
864	1167	182
865	1168	180
866	1168	179
867	1169	177
868	1170	176
869	1171	175
870	1172	173
871	1173	172
872	1175	170
873	1176	169
874	1176	168
875	1177	166
876	1178	165
877	1179	163
878	1180	162
879	1181	161
880	1181	159
881	1182	158
882	1183	156
883	1184	155
884	1185	154
885	1186	152
886	1187	151
887	1188	149
888	1190	148
889	1190	147
890	1191	145
891	1192	144
892	1193	143
893	1194	141
894	1195	140
895	1196	138
896	1196	137
897	1197	136
898	1198	134
899	1199	133
900	1200	131
901	1201	130
902	1201	129
903	1203	127
904	1204	126
905	1205	125
906	1206	123
907	1207	122
908	1208	120
909	1209	119
910	1210	118
911	1210	116
912	1211	115
913	1212	114
914	1213	112
915	1214	111
916	1215	109
917	1215	108
918	1216	107
919	1217	105
920	1220	104
921	1220	103
922	1221	101
923	1222	100
924	1223	99
925	1224	97
926	1224	96
927	1225	95
928	1226	93
929	1227	92
930	1228	91
931	1229	89
932	1229	88
933	1230	86
934	1231	85
935	1233	84
936	1234	83
937	1235	81
938	1236	80
939	1238	79
940	1239	77
941	1240	76
942	1241	75
943	1241	73
944	1242	72
945	1243	70
946	1244	69
947	1245	68
948	1245	66
949	1246	65
950	1249	64
951	1250	63
952	1250	61
953	1251	60
954	1253	59
955	1254	57
956	1255	56
957	1257	55
958	1259	53
959	1261	52
960	1264	51
961	1265	50
962	1267	48
963	1268	47
964	1271	46
965	1272	44
